id;phone_number;location;avatar;notes
1;hystérique de craint;pff calme;de manière à ce que ouf;aux environs de dynamique
2;quoique svelte;libérer encourager;hormis dominer;concurrence élargir peut-être
3;à force de;même si au défaut de;proche;quand
4;caresser identifier ;en decà de;boum près de oh;concurrence tant zzzz
5;selon à côté de;cadre nonobstant;en decà de secouriste loin;mal
6;de manière à ce que;tard conférer loufoque;rédaction;parlementaire
7;plouf;conquérir ding;violer de façon à ce que énorme;découvrir
8;au moyen de au-desso;dynamique afin de direction;oh fort croître;pff
9;à l'insu de quoique ;vaste;détacher au-dessus de bang;durant
10;efficace;moins smack;tranquille;repousser
