id;name;description;icon
1;au prix de;sans que rédaction pour que;déranger égoïste bien que
2;commissionnaire vaste;isoler jamais;prouver
3;camarade;tant que négocier;contre sombre dorénavant
4;fermer;loufoque;enfin circulaire
5;administration incalculable du côté de;serviable;mieux insulter à partir de
6;pendant que;aigre;personnel professionnel groin groin
7;personnel professionnel sur;ouin venir;moderne crac
8;vlan;contre;là-haut enfin
9;égarer fort;d’autant que d'avec approximativement;construire tant que
10;areu areu peut-être gens;membre à vie;en faveur de
