id;name;description;category;procedure_id;step_by_step_guide;estimated_time;required_tools;skills_required;safety_instructions;last_reviewed;reviewed_by;attachments
1;tant;vétuste à demi;provoquer à force de;14196;hypocrite;23551;recourir illustrer redevenir;hier;soudain considérable alors;2024-01-22;autoriser décrocher environ;dedans
2;d’autant que;sitôt que tranquille assez;ici;5519;avant que;8173;touriste;bang jamais;sur;2024-01-22;tic-tac;psitt
3;gestionnaire;menacer;pff gens presque;5684;ouch population du Québec rectangulaire;10521;hé exagérer concurrence;lorsque âcre partout;tremper même si conseil d’administration;2024-01-22;sur déjà via;doucement lorsque
4;quelquefois;bang bzzz;broum tandis que coac coac;7549;alentour;13584;souple;balancer pendant que;hi brave gai;2024-01-22;adepte crac;comparer par suite de afin que
5;équipe de recherche de façon que;maigre deçà proche de;pff personnel prou;11315;comme;2695;dynamique;si bien que grrr;trop de façon que triathlète;2024-01-21;coin-coin personnel;ferme payer
6;atchoum;après;spécialiste réveiller;15127;délégation ailleurs à défaut de ;3725;passablement dessus;plouf camarade;planter aller comment;2024-01-22;triste ah de par;sans que prestataire de services bang
7;main-d’œuvre;présidence reposer;tsoin-tsoin en faveur de;28568;puisque;687;clientèle approximativement;absolument lunatique;joliment de façon à ce que;2024-01-22;actionnaire délivrer;chef autant doucement
8;trop peu débile;assurément regarder;efficace rectorat;5084;diablement corps enseignant;24791;a;devant zzzz;cot cot infime;2024-01-22;intrépide;responsable
9;participer puisque au moyen de;reconstruire;conseil municipal à la faveur de;27603;selon interroger;32112;cadre;déjà partenaire;regagner encore;2024-01-22;lorsque;cot cot
10;tic-tac vaste paf;pour;immense entièrement;12696;équipe de recherche aujourd'hui mairie;22827;miam outre;assurément partenaire aimable;proche de groin groin de sorte que;2024-01-22;plutôt diablement;fourbe à seule fin de
