id;name;type;purchase_date;warranty_end_date;manufacturer;model;status_material;last_maintenance_date;note;serial_number
1;pendant outre;tandis que membre à vie;2024-01-22;2024-01-21;assez de manière à ce que;équipe de recherche tendre comme;membre du personnel altruiste;2024-01-22;déjeuner trop;6744
2;même si communauté étudiante;bavarder direction;2024-01-22;2024-01-22;rectorat;infiniment aussitôt que sale;de façon à ce que vroum;2024-01-21;désormais;10542
3;après;présidence;2024-01-22;2024-01-22;communauté étudiante sur;adepte sombre blême;à condition que de crainte que;2024-01-22;dring de façon à ce que;11217
4;guide bang en plus de;électorat touriste au cas où;2024-01-22;2024-01-22;subito vis-à-vie de;pendant que troubler au-dessous;commis de cuisine;2024-01-22;subito équipe;17383
5;franco affronter affable;après-demain en alors que;2024-01-22;2024-01-21;membre du personnel aux environs de;de manière à ce que;déchirer vraisemblablement vraisemblablement;2024-01-22;de façon à ce que;28896
6;quand pin-pon zzzz;lorsque équilibrer;2024-01-21;2024-01-22;téméraire snif;considérable;à moins de charitable;2024-01-22;du moment que bien;19485
7;au cas où dring;alors que à condition que;2024-01-21;2024-01-21;tard dans la mesure où proche de;drelin;souple après;2024-01-22;bang tellement;13796
8;emprunter auprès de grâce à;volontiers;2024-01-21;2024-01-21;en dedans de;toc-toc recevoir;timide si;2024-01-22;solitaire adorable;30506
9;persuader;beaucoup;2024-01-22;2024-01-22;prout circulaire dense;orange bof jusqu’à ce que;d'abord candide à force de;2024-01-21;appliquer bang commencer;24890
10;caractériser ouille;interroger;2024-01-22;2024-01-22;hi personnel équipe de recherche;meuh;suivant;2024-01-22;membre à vie rouler moyennant;22261
