id;name;status_code;description;color_code;next_possible_status;is_final
1;outre;svelte rejoindre;financer hé brusque;clac ép;tout à fait gratis;true
2;vis-à-vie de;évoquer téméraire;membre du personnel minuscule;apte co;super actionnaire;true
3;au moyen de varier;équipe de recherche;actionnaire;au-delà;applaudir outre;false
4;suivant large biathlète;broum ensemble;infiniment aïe sitôt que;clientè;mairie miaou;false
5;concernant commis hors;passager;âcre tsoin-tsoin;à l'enc;via;true
6;en faveur de super;areu areu ouin recta;depuis encore;jusque;plic engager;false
7;auprès de sous;là-haut;soit;atchoum;à l'entour de badaboum rédaction;false
8;couvrir;solitaire;vaste;contre ;de par équipe;false
9;minuscule admettre d’autant que;au point que de peur;areu areu à peine population du Québec;trop su;abandonner smack;false
10;en outre de quelque téméraire;dessus;durant cependant;même si;agréable posséder là;false
