id;title;description;created_at;resolution_date;closed_at;limit_date;impact;resolution;attachments
1;marier bof habile;commis;2024-01-22;2024-01-21;2024-01-21;2024-01-22;en bas de adepte;dans;sans que nonobstant
2;hé dériver;afin que marron;2024-01-21;2024-01-22;2024-01-22;2024-01-21;tant que croâ;alors que à la faveur de;accrocher
3;tard quant à avant;sous timide;2024-01-21;2024-01-22;2024-01-21;2024-01-21;conseil municipal;mêler rédaction;encore
4;personnel hé tromper;dessus à la faveur de malgré;2024-01-22;2024-01-21;2024-01-22;2024-01-22;plic dès;redire police en dehors de;à même après que
5;entre-temps commissionnaire sans que;vu que;2024-01-21;2024-01-22;2024-01-22;2024-01-21;bien que puisque;gémir rallier vouh;psitt avant de
6;sans que demain quasiment;assez orange;2024-01-22;2024-01-21;2024-01-22;2024-01-22;tellement;habile devant;si
7;broum pendant que doubler;extatique;2024-01-22;2024-01-21;2024-01-21;2024-01-21;candide;toujours responsable;en dehors de malade
8;adepte;ah;2024-01-22;2024-01-22;2024-01-22;2024-01-22;sage commettre;équipe de recherche à l'instar de affronter;grossir touchant de manière à ce que
9;direction;partenaire patientèle exprès;2024-01-21;2024-01-22;2024-01-22;2024-01-21;pallier au prix de clac;tandis que devant réclamer;retenir meuh
10;lorsque;semer céans;2024-01-21;2024-01-21;2024-01-22;2024-01-21;quand tsoin-tsoin;pourvu que quitte à;équipe sur
